6,1,32
12,10,64
3,2,64
11,6,32
1,9,8
6,8,32
4,9,32
0,7,64
3,6,64
7,10,8
13,1,32
8,6,64
1,3,8
9,10,64
9,4,64
6,11,8
11,8,32
11,10,32
4,6,32
2,9,8
5,1,8
0,7,64
2,1,8
10,12,32
1,3,64
6,3,8
5,8,32
11,3,64
3,4,8
0,4,32
11,3,64
11,6,8
1,2,8
11,9,32
13,6,64
13,0,32
12,0,8
3,9,8
2,1,32
1,2,8
7,10,64
1,5,8
1,2,32
3,10,64
8,2,64
6,1,64
3,9,32
12,6,8
7,0,32
3,1,64
6,13,64
6,13,64
8,10,32
3,13,8
0,6,64
3,12,8
13,2,32
3,11,8
0,9,64
13,3,64
13,2,32
9,5,32
2,9,32
9,7,32
1,3,32
2,13,8
11,1,8
7,13,8
6,12,64
5,3,64
13,2,8
10,12,8
3,4,8
9,4,64
0,12,8
3,10,64
13,3,32
5,0,64
13,4,8
10,13,8
0,10,32
1,10,32
5,4,32
0,11,32
0,8,64
12,1,32
4,0,32
0,3,64
3,5,8
3,13,8
11,3,32
1,0,64
4,7,8
11,13,64
2,9,8
4,2,8
10,2,8
4,0,32
13,0,64
12,3,32
3,12,32
1,6,32
0,3,64
2,1,32
4,9,8
11,4,8
10,8,64
5,4,8
12,2,64
6,13,32
12,10,8
6,5,64
7,5,8
3,1,32
3,7,64
6,12,64
4,6,64
0,9,32
12,5,32
12,13,64
4,3,32
10,13,32
2,5,8
5,6,8
1,4,64
5,6,32
2,1,8
8,4,8
5,4,8
1,4,64
13,0,32
0,12,64
5,3,32
0,12,8
1,4,8
10,5,64
2,3,64
3,1,64
4,10,64
2,8,32
11,12,8
3,13,32
13,6,8
13,11,64
1,2,64
10,11,64
0,2,8
2,12,64
2,12,8
10,9,8
10,6,64
6,0,64
9,13,32
3,12,64
11,0,8
11,1,64
10,11,64
8,0,32
5,12,64
5,11,64
4,5,64
2,10,8
1,13,8
8,9,8
12,7,64
3,0,32
5,2,8
0,1,64
12,9,32
7,1,32
7,9,32
2,9,64
9,2,32
1,3,32
11,3,64
6,5,8
12,5,8
2,9,64
11,10,8
8,7,8
3,13,64
13,10,8
7,6,64
12,10,64
11,5,64
7,0,32
0,9,64
2,12,8
7,11,32
6,0,32
10,8,8
9,4,32
2,8,8
7,8,64
12,0,8
4,5,32
5,8,8
12,6,64
11,0,8
12,1,64
