8,10,8
11,13,64
11,9,32
6,1,64
2,10,64
4,3,32
12,8,64
14,2,32
3,10,32
5,6,64
13,7,32
13,9,32
4,3,8
7,9,64
10,7,32
3,6,64
6,14,8
5,10,64
4,2,32
1,11,32
5,11,64
7,8,64
5,11,32
14,10,64
7,14,64
14,12,32
9,4,64
7,14,32
10,2,64
3,12,32
14,3,8
3,4,8
9,13,64
11,1,64
9,1,64
6,3,64
2,1,32
11,8,8
2,10,64
2,7,8
10,12,64
7,8,64
8,2,64
14,6,32
4,1,64
5,1,8
9,10,8
9,11,32
4,8,64
14,7,32
14,5,32
2,5,32
1,5,64
12,2,8
13,4,32
12,11,32
6,8,32
4,7,64
10,4,8
7,6,32
2,13,32
6,4,64
3,9,64
8,11,32
1,13,8
6,3,32
12,14,32
11,13,32
3,12,8
14,9,32
14,2,64
4,14,64
3,2,64
4,8,32
12,13,8
11,4,8
14,13,64
8,10,32
12,1,32
3,11,64
12,9,32
6,1,32
10,3,64
4,8,32
6,8,8
8,2,8
12,14,64
10,1,8
7,13,8
6,4,64
6,10,32
8,11,8
6,11,8
11,4,32
13,5,8
1,3,8
6,8,32
12,2,32
11,1,8
8,5,64
3,6,32
8,9,64
14,12,32
3,11,32
14,1,64
13,6,32
5,9,8
9,10,8
13,8,64
6,12,8
12,7,64
8,11,32
1,2,8
6,8,32
9,10,32
10,14,64
6,11,64
1,2,32
14,1,64
6,5,64
4,14,32
3,9,8
1,8,8
4,5,32
9,12,64
9,13,32
9,4,8
2,13,32
13,9,64
3,11,32
5,14,32
2,9,8
3,12,32
12,14,64
9,5,64
1,9,32
8,7,8
8,11,64
2,6,32
9,4,32
6,13,8
3,12,8
12,1,32
8,5,8
13,4,32
11,10,8
7,4,64
3,5,8
5,9,8
9,7,8
2,7,64
6,11,64
10,5,32
7,11,8
13,1,32
2,3,32
6,13,64
1,13,8
1,10,32
5,14,8
2,6,32
11,3,32
6,7,8
11,4,64
7,14,32
6,10,64
3,14,32
8,9,64
14,2,8
8,2,64
12,3,32
14,11,64
12,5,64
12,4,8
12,13,32
9,13,64
9,4,64
1,12,8
9,1,8
7,1,8
12,13,64
7,11,32
5,2,8
10,8,32
2,14,32
3,13,32
9,2,64
14,12,32
11,2,32
2,7,64
4,3,64
3,8,32
4,2,8
13,8,8
13,11,32
3,1,8
7,9,32
14,13,8
7,2,64
2,11,64
